Group	Label
j1_winner	J1 Overall Winner
j1_east	J1 East Group
j1_west	J1 West Group
j2_3_winner	J2/J3 Overall Winner
j2_3_east_a	J2/J3 East-A Group
j2_3_east_b	J2/J3 East-B Group
j2_3_west_a	J2/J3 West-A Group
j2_3_west_b	J2/J3 West-B Group
